Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
mellegue,مـــــلاق,0.0,1,0.03,22.9299,0.0,30.4346,0.09,8.237,4.56147,38.8069,167.778,7.82339,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2022-07-03 00:00:00
sarrat,سراط,0.0341661,36,0.001522,5.66677,0.0341661,9.23761,0.022872,6.77115,0.926,,17.5386,5.99659,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2022-07-03 00:00:00
benmetir,بنيمطيــر,0.0162349,2,0.03456,23.5972,0.0162349,29.8951,0.10368,11.84,0.146233,16.8917,43.2113,16.5525,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2022-07-03 00:00:00
kasseb,كســاب,0.0,3,0.09504,30.3439,0.0,31.7674,0.28512,24.2334,0.31027,23.9119,43.467,32.1739,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2022-07-03 00:00:00
barbara,بربرة,0.0,4,0.020138,63.3474,0.0,62.3162,0.053882,35.096,0.0275556,48.8804,83.5444,53.9297,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2022-07-03 00:00:00
sidisalem,سيدي ســــالم,0.139103,5,0.94151,180.515,0.139103,216.41,2.81821,147.613,4.53434,153.848,394.75,217.676,580.35,115.0,814.0,1.0,1981,36.5907,9.39706,7950.0,2022-07-03 00:00:00
bouheurtma,بو هرتمـــــه,0.0366405,6,0.34841,46.4505,0.0366405,66.1103,1.07881,42.1223,0.84711,32.6865,81.6537,27.71,112.037,221.0,117.5,1.0,1976,36.6719,8.78758,390.0,2022-07-03 00:00:00
joumine,جوميــــــن,0.0309053,7,0.24518,41.3797,0.0309053,62.7284,0.76654,49.4676,0.374536,39.9499,76.0937,41.3797,118.773,90.0,129.9,1.0,1983,36.9909,9.61373,418.0,2022-07-03 00:00:00
ghezala,غزالـــــــة,0.0,8,0.0416,6.309,0.0,7.04006,0.1922,4.60847,0.0887665,3.77157,9.5441,6.2063,10.004,82.5,11.7,1.0,1984,37.0594,9.54582,48.0,2022-07-03 00:00:00
melah,المالح,0.0,33,0.07704,12.6916,0.0,18.4385,0.23228,6.59175,0.17,7.4281,25.7365,6.8866,41.0,136.0,41.0,1.0,2015,37.0359,9.41093,85.9,2022-07-03 00:00:00
tine,الطين,0.0162613,34,0.0537,3.0229,0.0162613,6.79911,0.1613,5.73313,0.04,6.63931,17.4039,5.9668,34.0,136.0,34.0,1.0,2017,36.8644,9.62805,276.0,2022-07-03 00:00:00
sejnane,سجنــــــان,0.0,9,0.493174,101.822,0.0,125.514,1.48911,199.708,0.510169,94.567,119.358,95.791,134.014,86.5,137.5,1.0,1994,37.181,9.47513,367.0,2022-07-03 00:00:00
zarga,الزرقة,0.0,10,0.0312,17.791,0.0,12.5113,0.1086,6.2858,0.02,7.85461,22.0919,16.92,24.0,93.0,24.0,1.0,2012,36.8824,8.69921,60.0,2022-07-03 00:00:00
kebir,الكبير,0.0,31,0.0,6.4408,0.0,19.1828,0.0,17.9095,0.110368,17.744,39.6304,6.1672,64.4,85.0,64.4,1.0,2014,36.8751,8.71699,85.2,2022-07-03 00:00:00
moula,المولى,0.00764945,32,0.0,25.9059,0.00764945,10.9488,0.0,8.111,0.10202,15.5908,31.8686,25.8053,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2022-07-03 00:00:00
selbarrak,سيدي البــــراق,0.0,11,0.63953,248.609,0.0,246.45,1.419,166.282,0.495165,173.91,296.083,242.541,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2022-07-03 00:00:00
ziatine,الزياتين,0.0099159,12,0.070392,22.642,0.0099159,18.1845,0.181989,10.7468,0.3,11.8054,29.229,22.3736,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2022-07-03 00:00:00
gamgoum,القمقوم,0.0,13,0.0,17.3071,0.0,8.75106,0.0,6.9895,0.0,6.93553,7.96404,17.5505,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2022-07-03 00:00:00
harka,الحركة,0.0,35,0.0,27.1523,0.0,16.1018,0.0,10.7145,0.33,,24.5319,29.0306,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2022-07-03 00:00:00
siliana,سليانـــــــة,0.00515301,14,0.0,7.11671,0.00515301,10.8171,0.283826,2.45721,0.292717,11.2141,35.1946,3.85344,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2022-07-03 00:00:00
lakhmess,لخمـــــــاس,0.0147735,15,0.002917,6.48857,0.0179636,6.6968,0.007639,0.919053,0.39463,1.63079,12.4424,1.89581,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2022-07-03 00:00:00
rmil,الرميـــــــل,0.00110508,16,0.00256,0.7916,0.00110508,1.25813,0.009699,0.416613,0.0279339,1.56786,10.0179,0.8545,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2022-07-03 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.004,19.985,0.0,5.33093,0.012,1.224,0.221733,9.37769,26.0058,28.7282,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2022-07-03 00:00:00
rmel,الرمــــــل,0.0122153,18,0.0,0.900043,0.0432573,1.69163,0.0,0.0158,0.117654,6.15259,15.904,1.61178,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2022-07-03 00:00:00
nebhana,نبهانــــــة,0.013034,19,0.06319,14.4566,0.013034,18.8264,0.19306,4.33155,0.347329,6.89434,22.3592,3.6639,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2022-07-03 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.0,33.7551,0.0,13.5605,0.0,1.84026,0.955032,23.119,44.5773,37.616,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2022-07-03 00:00:00
elhaouareb,هـــــــوارب,0.0,21,0.0,4.64508,0.0,15.0016,0.01692,0.569668,0.124013,8.33608,14.7417,0.300336,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2022-07-03 00:00:00
sficifa,سفيسيفة,0.00165058,22,0.0,1.49861,0.00451825,0.18788,0.0,0.0,0.146,0.253601,76.2621,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2022-07-03 00:00:00
sidiach,سيدي يعيــــش,0.00077625,23,0.0,1.337,0.00232875,0.81234,0.0,0.202,0.0943411,0.0640616,1.86241,2.42152,88.0,541.0,88.0,1.0,1997,34.7468,8.74761,1900.0,2022-07-03 00:00:00
elbrek,البــــــــرك,0.00042735,24,0.0,0.06,0.00128205,0.681516,0.0,0.0,0.045061,0.556167,2.11528,0.06,16.0,849.0,16.0,1.0,2002,35.4705,8.96766,293.0,2022-07-03 00:00:00
bezirk,بزيـــــــغ,0.00341857,25,0.02448,1.294,0.00341857,1.5858,0.04032,0.52628,0.120187,0.78598,5.10367,1.8322,5.01,54.62,6.5,1.0,1959,36.7159,10.6262,86.0,2022-07-03 00:00:00
chiba,شيبـــــــة,0.0,26,0.0,0.48694,0.0,1.30067,0.0,0.053721,0.161566,0.3956,6.76807,0.52728,5.045,77.88,7.8,1.0,1963,36.6923,10.7697,64.0,2022-07-03 00:00:00
masri,مصــــــري,0.0245857,27,0.068589,3.82679,0.0245857,0.959869,0.249761,4.8563,0.0864223,0.822026,4.73804,3.96484,5.193,163.0,6.9,1.0,1968,36.534,10.4911,53.0,2022-07-03 00:00:00
lebna,لبنــــــــة,0.00781815,28,0.028,4.28049,0.00781815,4.42739,0.069,2.80997,0.108578,3.9712,18.0566,7.74868,23.3053,18.04,30.1,1.0,1986,36.7388,10.9218,199.0,2022-07-03 00:00:00
hma,الحمـــــى,0.0,29,0.0,0.460721,0.0,0.275397,0.0,0.0,0.0298867,1.86717,4.46889,1.43393,12.854,102.4,12.1,1.0,2002,36.5874,10.304,123.0,2022-07-03 00:00:00
abid,العبيـــــــد,0.0,30,0.012006,2.55047,0.0,3.04394,0.038682,0.725567,0.00807893,0.960733,5.24095,2.55605,9.615,42.2,10.0,1.0,2002,36.8308,10.7086,54.0,2022-07-03 00:00:00
mellegue,مـــــلاق,0.0,1,0.13,23.2109,0.0637722,30.4346,1.856,8.277,14.8922,38.8037,167.336,8.40026,51.13,265.0,267.67,1.0,1954,36.3144,8.70273,10300.0,2022-07-02 00:00:00
sarrat,سراط,0.00322506,36,0.016672,5.68983,0.132924,9.20345,0.155222,6.74827,1.867,,17.449,6.03379,21.0,546.0,21.0,1.0,2016,49.9167,26.5833,1850.0,2022-07-02 00:00:00
benmetir,بنيمطيــر,0.0,2,0.03456,23.7662,0.0124311,29.8789,1.00224,11.7363,0.282436,16.8917,43.1971,16.8343,60.393,436.5,61.63,1.0,1954,36.7471,8.74188,103.0,2022-07-02 00:00:00
kasseb,كســاب,1.15372e-05,3,0.09504,30.6838,0.276341,31.7674,2.55542,23.9482,0.430066,23.8824,43.437,32.4792,76.9,292.04,81.875,1.0,1968,36.7614,9.0023,101.0,2022-07-02 00:00:00
barbara,بربرة,0.00560952,4,0.015508,63.4712,0.232483,62.3162,0.492856,35.0421,0.293949,48.7927,83.5417,54.461,64.7,182.0,74.82,1.0,1998,36.7341,8.53173,177.0,2022-07-02 00:00:00
